,R202G,max,diff,True
190,3.282538370208532e-05,1.1617140855993541e-06,3.721216297914679e-06,0
191,1.4391207591304459e-05,1.1617140855993541e-06,1.2413924086955412e-06,0
192,1.814668460491413e-06,1.1617140855993541e-06,4.758015395085869e-07,1
193,2.045442386770786e-06,1.1617140855993541e-06,7.319176132292139e-07,1
194,1.3635974690442458e-06,1.1617140855993541e-06,8.503025309557539e-07,1
195,6.027310470557721e-07,1.1617140855993541e-06,8.714189529442278e-07,1
196,2.3193885809292842e-07,1.1617140855993541e-06,7.790811419070717e-07,1
197,1.0787339520327425e-07,1.1617140855993541e-06,5.902336047967258e-07,0
198,5.979650360329432e-08,1.1617140855993541e-06,3.847474963967057e-07,0
199,7.024532272614587e-08,1.1617140855993541e-06,2.268656772738541e-07,0
200,2.65191192570262e-07,1.1617140855993541e-06,1.15481807429738e-07,0
201,1.041135552543964e-06,1.1617140855993541e-06,-8.845552543964017e-09,0
202,3.2031387186695443e-06,1.1617140855993541e-06,-2.3804871866954397e-07,0
203,7.79498439662443e-06,1.1617140855993541e-06,-7.647443966244312e-07,0
204,1.5479751736533105e-05,1.1617140855993541e-06,-2.0631517365331033e-06,0
205,2.5251633677671855e-05,1.1617140855993541e-06,-4.438733677671856e-06,1
206,3.28695471606013e-05,1.1617140855993541e-06,-6.831947160601296e-06,1
207,3.240421866780699e-05,1.1617140855993541e-06,-6.928018667806991e-06,1
208,2.31309307191038e-05,1.1617140855993541e-06,-3.949630719103798e-06,1
209,1.1853708252101296e-05,1.1617140855993541e-06,-3.81108252101297e-07,0
210,4.63287847399128e-06,1.1617140855993541e-06,1.38663152600872e-06,0
211,1.8265615547511902e-06,1.1617140855993541e-06,1.5445584452488093e-06,1
212,1.5781264026536738e-06,1.1617140855993541e-06,1.1664935973463263e-06,0
213,2.8964693286073064e-06,1.1617140855993541e-06,5.751906713926935e-07,0
214,5.872769742152103e-06,1.1617140855993541e-06,-5.348597421521039e-07,0
215,1.147167328242032e-05,1.1617140855993541e-06,-2.186193282420321e-06,1
216,2.169381543706436e-05,1.1617140855993541e-06,-4.0002154370643595e-06,1
217,3.856228182456311e-05,1.1617140855993541e-06,-5.549681824563108e-06,1
218,5.972043945560358e-05,1.1617140855993541e-06,-5.945639455603579e-06,1
219,7.463997952481816e-05,1.1617140855993541e-06,-4.565179524818169e-06,0
220,7.26474540679825e-05,1.1617140855993541e-06,-2.731254067982498e-06,0
221,5.505517999154998e-05,1.1617140855993541e-06,-1.7686799915499798e-06,0
222,3.2534600498301546e-05,1.1617140855993541e-06,-1.2283004983015442e-06,0
223,1.4543773201664083e-05,1.1617140855993541e-06,-7.40273201664084e-07,0
224,2.939788963165064e-06,1.1617140855993541e-06,2.0554103683493623e-07,0
225,3.4396365965985633e-06,1.1617140855993541e-06,6.445334034014361e-07,0
226,2.32666475416442e-06,1.1617140855993541e-06,1.06092524583558e-06,0
227,1.0354046658012808e-06,1.1617140855993541e-06,1.198525334198719e-06,0
228,3.9206316942695367e-07,1.1617140855993541e-06,1.0307468305730464e-06,0
229,1.520245046694742e-07,1.1617140855993541e-06,7.355194953305258e-07,0
230,6.459455126011814e-08,1.1617140855993541e-06,4.655894487398819e-07,0
231,8.038795890588641e-08,1.1617140855993541e-06,3.095030410941136e-07,0
232,3.4150636843251784e-07,1.1617140855993541e-06,3.0251963156748224e-07,0
233,1.4238141849573726e-06,1.1617140855993541e-06,4.438958150426272e-07,0
234,4.707515993509861e-06,1.1617140855993541e-06,6.07854006490139e-07,0
235,1.2195428570907112e-05,1.1617140855993541e-06,2.174714290928878e-07,0
236,2.478970514838997e-05,1.1617140855993541e-06,-1.7894051483899678e-06,0
237,3.9481506708921726e-05,1.1617140855993541e-06,-5.534106708921726e-06,1
238,4.829160841923694e-05,1.1617140855993541e-06,-8.448308419236938e-06,1
239,4.3896520075483053e-05,1.1617140855993541e-06,-7.309720075483053e-06,1
240,2.921928505596387e-05,1.1617140855993541e-06,-3.071785055963869e-06,1
241,1.4729134857569524e-05,1.1617140855993541e-06,3.894651424304751e-07,0
242,6.262925131648702e-06,1.1617140855993541e-06,1.6961148683512983e-06,1
243,2.8555732126064926e-06,1.1617140855993541e-06,1.8121367873935066e-06,1
244,2.0837814796102433e-06,1.1617140855993541e-06,1.6194885203897565e-06,1
245,2.6747169950935903e-06,1.1617140855993541e-06,1.3719030049064098e-06,0
246,4.614091600459793e-06,1.1617140855993541e-06,8.924783995402067e-07,0
247,9.140156507501383e-06,1.1617140855993541e-06,3.287349249861708e-08,0
248,1.8643402008869808e-05,1.1617140855993541e-06,-1.2389020088698086e-06,0
249,3.557472501684861e-05,1.1617140855993541e-06,-2.8871250168486067e-06,0
250,5.8205444264018215e-05,1.1617140855993541e-06,-4.5662442640182155e-06,0
251,7.640331441445615e-05,1.1617140855993541e-06,-6.180414414456146e-06,0
252,7.852300492658355e-05,1.1617140855993541e-06,-7.636504926583556e-06,1
253,6.345426924802686e-05,1.1617140855993541e-06,-7.222869248026856e-06,1
254,4.0243947530573935e-05,1.1617140855993541e-06,-4.488947530573936e-06,1
255,1.930695300230036e-05,1.1617140855993541e-06,-1.8777530023003609e-06,1
256,4.876513727236523e-06,1.1617140855993541e-06,-2.5652372723652314e-07,0
257,5.3443760277477586e-06,1.1617140855993541e-06,3.31553972252242e-07,0
258,3.458432909133665e-06,1.1617140855993541e-06,8.985570908663353e-07,0
259,1.5987997232961712e-06,1.1617140855993541e-06,1.0181202767038288e-06,0
260,6.771362699430327e-07,1.1617140855993541e-06,8.140537300569672e-07,0
261,2.6603162807843126e-07,1.1617140855993541e-06,5.688943719215687e-07,0
262,1.0601709154541844e-07,1.1617140855993541e-06,3.8409990845458155e-07,0
263,1.493080402487948e-07,1.1617140855993541e-06,2.9703795975120517e-07,0
264,6.329115133467197e-07,1.1617140855993541e-06,3.465394866532804e-07,0
265,2.6600950925745134e-06,1.1617140855993541e-06,4.863449074254865e-07,0
266,8.859724820780154e-06,1.1617140855993541e-06,4.780651792198463e-07,0
267,2.2187140148321028e-05,1.1617140855993541e-06,-5.254014832102832e-08,0
268,4.2006294509328916e-05,1.1617140855993541e-06,-1.7428945093289175e-06,0
269,6.125640015672126e-05,1.1617140855993541e-06,-4.711200156721258e-06,1
270,6.867330577647459e-05,1.1617140855993541e-06,-6.613905776474589e-06,1
271,5.830430285660773e-05,1.1617140855993541e-06,-5.257002856607733e-06,1
272,3.775621321956135e-05,1.1617140855993541e-06,-2.406313219561355e-06,0
273,1.969221296690852e-05,1.1617140855993541e-06,-2.3341296690851905e-07,0
274,9.210734127222458e-06,1.1617140855993541e-06,1.2958658727775428e-06,0
275,4.668589332628665e-06,1.1617140855993541e-06,2.2876906673713353e-06,1
276,3.1174874801259035e-06,1.1617140855993541e-06,2.7890125198740966e-06,1
277,2.722549125061219e-06,1.1617140855993541e-06,3.0541608749387802e-06,1
278,3.3290809448319735e-06,1.1617140855993541e-06,3.165079055168026e-06,1
279,6.362817026606512e-06,1.1617140855993541e-06,3.2451229733934873e-06,1
280,1.5205185036501649e-05,1.1617140855993541e-06,3.164614963498353e-06,1
281,3.422383159993176e-05,1.1617140855993541e-06,2.2946684000682395e-06,0
282,6.243863269850496e-05,1.1617140855993541e-06,5.8467301495044406e-08,0
283,8.766143102580106e-05,1.1617140855993541e-06,-3.4284310258010647e-06,0
284,9.507926290779348e-05,1.1617140855993541e-06,-6.139162907793473e-06,0
285,8.155127368990424e-05,1.1617140855993541e-06,-5.559473689904242e-06,0
286,5.527168987479834e-05,1.1617140855993541e-06,-2.980289874798334e-06,0
287,2.802598445558089e-05,1.1617140855993541e-06,-1.3833844555808895e-06,0
288,5.001146327543834e-06,1.1617140855993541e-06,-2.390763275438343e-07,0
289,5.294614655864008e-06,1.1617140855993541e-06,-1.004946558640091e-07,0
290,3.782035963238421e-06,1.1617140855993541e-06,-2.622159632384209e-07,0
291,2.175930533063411e-06,1.1617140855993541e-06,-3.3025053306341107e-07,0
292,1.0267625026182968e-06,1.1617140855993541e-06,-1.2705050261829682e-07,0
293,3.712865288551256e-07,1.1617140855993541e-06,7.614647114487436e-08,0
294,1.457066049157687e-07,1.1617140855993541e-06,1.388933950842313e-07,0
295,2.5425243765034146e-07,1.1617140855993541e-06,1.405075623496585e-07,0
296,1.2074301657999484e-06,1.1617140855993541e-06,7.305983420005158e-08,0
297,5.1998919085346665e-06,1.1617140855993541e-06,-2.82421908534667e-07,0
298,1.661341180987001e-05,1.1617140855993541e-06,-7.939118098700097e-07,0
299,3.8549372847053145e-05,1.1617140855993541e-06,-5.80972847053144e-07,0
300,6.636048140177446e-05,1.1617140855993541e-06,-5.1481401774471905e-08,0
301,8.714701718431617e-05,1.1617140855993541e-06,-1.0778171843161633e-06,0
302,8.806928385964411e-05,1.1617140855993541e-06,-3.1554838596441166e-06,0
303,6.800405528070995e-05,1.1617140855993541e-06,-4.221055280709954e-06,1
304,4.049615169321868e-05,1.1617140855993541e-06,-3.536751693218685e-06,1
305,1.958203797063056e-05,1.1617140855993541e-06,-1.3863379706305602e-06,0
306,8.711576002385017e-06,1.1617140855993541e-06,9.209839976149836e-07,0
307,4.506184513338003e-06,1.1617140855993541e-06,2.191155486661997e-06,1
308,2.939212894082823e-06,1.1617140855993541e-06,2.7453771059171777e-06,1
309,2.1142897670680943e-06,1.1617140855993541e-06,3.193460232931906e-06,1
310,2.210997474401085e-06,1.1617140855993541e-06,3.755932525598915e-06,1
311,5.210668745649433e-06,1.1617140855993541e-06,4.527591254350567e-06,1
312,1.6121879625077523e-05,1.1617140855993541e-06,5.069220374922478e-06,1
313,4.109585636753101e-05,1.1617140855993541e-06,4.474143632468988e-06,0
314,7.750708250483337e-05,1.1617140855993541e-06,2.3738174951666254e-06,0
315,0.00010822163411822002,1.1617140855993541e-06,-1.8463411822000684e-07,0
316,0.0001161714085599354,1.1617140855993541e-06,-9.544085599353996e-07,0
317,9.935753618666589e-05,1.1617140855993541e-06,1.9816381333411382e-07,0
318,6.64735020269435e-05,1.1617140855993541e-06,6.624979730564956e-07,0
319,3.205297718707821e-05,1.1617140855993541e-06,-1.4957718707820375e-07,0
320,3.3597937018208735e-06,1.1617140855993541e-06,-6.079937018208735e-07,0
321,4.175640908339037e-06,1.1617140855993541e-06,-1.5014109083390367e-06,1
322,3.634824641951714e-06,1.1617140855993541e-06,-2.010124641951714e-06,1
323,2.264930460004216e-06,1.1617140855993541e-06,-1.5176774600042162e-06,1
324,9.938466771614165e-07,1.1617140855993541e-06,-6.893976771614164e-07,1
325,3.182769577629158e-07,1.1617140855993541e-06,-1.846589577629158e-07,1
326,1.2533806622334634e-07,1.1617140855993541e-06,-1.524306622334635e-08,0
327,3.1638460117262843e-07,1.1617140855993541e-06,-1.1831601172628443e-08,0
