,V218M,max,diff,True
175,1.3674565289819047e-05,1.2811640907445192e-06,4.167134710180955e-06,1
176,1.074819674182892e-05,1.2811640907445192e-06,3.882703258171079e-06,1
177,6.5540046641655876e-06,1.2811640907445192e-06,2.8799753358344125e-06,1
178,3.4436184866474524e-06,1.2811640907445192e-06,1.804571513352547e-06,1
179,2.1051030918551148e-06,1.2811640907445192e-06,1.044616908144885e-06,0
180,2.1236012898124857e-06,1.2811640907445192e-06,8.249987101875144e-07,0
181,3.2325828282083474e-06,1.2811640907445192e-06,8.822171717916526e-07,0
182,5.336932829999253e-06,1.2811640907445192e-06,6.626071700007477e-07,0
183,8.85358298926673e-06,1.2811640907445192e-06,3.273370107332701e-07,0
184,1.601149909077141e-05,1.2811640907445192e-06,6.038009092285903e-07,0
185,3.028156375950579e-05,1.2811640907445192e-06,1.818736240494211e-06,0
186,5.140109515441902e-05,1.2811640907445192e-06,3.6548048455809857e-06,0
187,7.027716019296116e-05,1.2811640907445192e-06,4.886139807038851e-06,0
188,7.355360734503684e-05,1.2811640907445192e-06,4.7505926549631575e-06,0
189,5.74275421209789e-05,1.2811640907445192e-06,4.303357879021105e-06,0
190,3.297828401373196e-05,1.2811640907445192e-06,3.568315986268039e-06,0
191,1.3668256280346026e-05,1.2811640907445192e-06,1.9643437196539745e-06,1
192,1.889218982848799e-06,1.2811640907445192e-06,4.0125101715120084e-07,0
193,2.315030407931174e-06,1.2811640907445192e-06,4.6232959206882607e-07,0
194,1.7687668952775543e-06,1.2811640907445192e-06,4.451331047224454e-07,0
195,1.0034362796114146e-06,1.2811640907445192e-06,4.7071372038858526e-07,0
196,5.172173501332535e-07,1.2811640907445192e-06,4.938026498667466e-07,0
197,2.4505416345941855e-07,1.2811640907445192e-06,4.5305283654058147e-07,0
198,1.0098733378755377e-07,1.2811640907445192e-06,3.435566662124462e-07,0
199,6.289880398754653e-08,1.2811640907445192e-06,2.3421219601245345e-07,1
200,1.6441750952169186e-07,1.2811640907445192e-06,2.1625549047830815e-07,0
201,6.641103321585779e-07,1.2811640907445192e-06,3.6817966784142206e-07,0
202,2.1189497842780258e-06,1.2811640907445192e-06,8.461402157219746e-07,1
203,5.126686385001651e-06,1.2811640907445192e-06,1.9035536149983473e-06,1
204,9.959724361028827e-06,1.2811640907445192e-06,3.4568756389711748e-06,1
