,R273H,max,diff,True
331,4.937644226389957e-05,1.1061684089567915e-06,1.5416577361004318e-06,0
332,7.880958548714557e-05,1.1061684089567915e-06,1.945214512854429e-06,0
333,9.281527755632153e-05,1.1061684089567915e-06,-6.597775563215298e-07,0
334,8.149292268171483e-05,1.1061684089567915e-06,-4.315022681714825e-06,0
335,5.326985484836267e-05,1.1061684089567915e-06,-5.632854848362673e-06,1
336,2.6972228285728695e-05,1.1061684089567915e-06,-4.543328285728697e-06,1
337,1.2364837421503165e-05,1.1061684089567915e-06,-3.0668074215031644e-06,1
338,6.6438761240281505e-06,1.1061684089567915e-06,-2.1140161240281503e-06,1
339,4.412471545310306e-06,1.1061684089567915e-06,-1.3591215453103067e-06,1
340,3.201898315064516e-06,1.1061684089567915e-06,-6.701083150645159e-07,0
341,2.779565223008126e-06,1.1061684089567915e-06,-2.8092522300812627e-07,0
342,4.073197741914295e-06,1.1061684089567915e-06,-5.370277419142957e-07,0
343,9.534952301477987e-06,1.1061684089567915e-06,-1.6436523014779872e-06,0
344,2.3319715755754526e-05,1.1061684089567915e-06,-2.6218157557545256e-06,0
345,4.799631940232916e-05,1.1061684089567915e-06,-1.0810194023291682e-06,0
346,7.788708322200143e-05,1.1061684089567915e-06,3.1666167779985643e-06,0
347,9.988521398989908e-05,1.1061684089567915e-06,6.042786010100913e-06,0
348,0.00010352957097813208,1.1061684089567915e-06,5.217429021867932e-06,0
349,8.568098400972293e-05,1.1061684089567915e-06,2.8239159902770738e-06,0
350,5.3011813886047226e-05,1.1061684089567915e-06,8.431861139527729e-07,0
351,2.2434831572806355e-05,1.1061684089567915e-06,-1.6063157280635373e-07,0
352,6.229122508560497e-07,1.1061684089567915e-06,2.678947491439502e-07,0
353,4.833145649033054e-07,1.1061684089567915e-06,3.1418943509669463e-07,0
354,2.1546313954454928e-07,1.1061684089567915e-06,2.3630386045545067e-07,0
