,I251L,max,diff,True
213,1.5648623326067375e-06,1.076209015523905e-06,1.9067976673932624e-06,1
214,2.950109529083658e-06,1.076209015523905e-06,2.387800470916341e-06,1
215,6.433751364072122e-06,1.076209015523905e-06,2.851728635927878e-06,1
216,1.5010245389939002e-05,1.076209015523905e-06,2.6833546100609973e-06,0
217,3.146759332505255e-05,1.076209015523905e-06,1.5450066749474528e-06,0
218,5.355716929388257e-05,1.076209015523905e-06,2.1763070611742719e-07,0
219,7.147885290841468e-05,1.076209015523905e-06,-1.404052908414685e-06,0
220,7.367910999423015e-05,1.076209015523905e-06,-3.762909994230152e-06,0
221,5.829728797727962e-05,1.076209015523905e-06,-5.0107879772796186e-06,0
222,3.5071950999182334e-05,1.076209015523905e-06,-3.7656509991823315e-06,1
223,1.559185025317363e-05,1.076209015523905e-06,-1.7883502531736311e-06,1
224,2.7905427625679327e-06,1.076209015523905e-06,3.5478723743206743e-07,0
225,3.379942594796917e-06,1.076209015523905e-06,7.042274052030822e-07,0
226,2.506812038970896e-06,1.076209015523905e-06,8.807779610291041e-07,0
227,1.3021134739649576e-06,1.076209015523905e-06,9.318165260350423e-07,0
228,5.908384832739591e-07,1.076209015523905e-06,8.319715167260409e-07,0
229,3.125221979770031e-07,1.076209015523905e-06,5.750218020229969e-07,0
230,2.323667831237953e-07,1.076209015523905e-06,2.9781721687620467e-07,0
231,2.9856743762997115e-07,1.076209015523905e-06,9.132356237002883e-08,0
232,7.963025281667984e-07,1.076209015523905e-06,-1.5227652816679835e-07,0
233,2.680096781947284e-06,1.076209015523905e-06,-8.123867819472842e-07,0
234,7.521583781082788e-06,1.076209015523905e-06,-2.2062137810827882e-06,1
235,1.6099255861726638e-05,1.076209015523905e-06,-3.686355861726639e-06,1
236,2.693380256220802e-05,1.076209015523905e-06,-3.93350256220802e-06,1
237,3.697528102899572e-05,1.076209015523905e-06,-3.02788102899572e-06,0
238,4.220328383952926e-05,1.076209015523905e-06,-2.3599838395292632e-06,0
239,3.8885427427396175e-05,1.076209015523905e-06,-2.298627427396175e-06,0
240,2.820357685329942e-05,1.076209015523905e-06,-2.056076853299419e-06,0
241,1.621519168431897e-05,1.076209015523905e-06,-1.0965916843189711e-06,0
242,7.618521509491429e-06,1.076209015523905e-06,3.405184905085716e-07,0
243,3.342464269624208e-06,1.076209015523905e-06,1.3252457303757914e-06,1
244,2.095366487894271e-06,1.076209015523905e-06,1.6079035121057287e-06,1
245,2.280718621334457e-06,1.076209015523905e-06,1.765901378665543e-06,0
246,3.2904593967854458e-06,1.076209015523905e-06,2.2161106032145537e-06,1
247,6.0296961368287874e-06,1.076209015523905e-06,3.143333863171213e-06,1
248,1.3216785381745675e-05,1.076209015523905e-06,4.187714618254324e-06,1
249,2.768930466103675e-05,1.076209015523905e-06,4.998295338963252e-06,1
250,4.788883930422804e-05,1.076209015523905e-06,5.750360695771961e-06,1
251,6.496354929928575e-05,1.076209015523905e-06,5.259350700714249e-06,0
252,6.887524658320258e-05,1.076209015523905e-06,2.011253416797412e-06,0
253,5.7908704941690405e-05,1.076209015523905e-06,-1.6773049416903997e-06,0
254,3.854909183924419e-05,1.076209015523905e-06,-2.794091839244191e-06,0
255,1.9446648339500674e-05,1.076209015523905e-06,-2.017448339500675e-06,1
256,4.0518157128132416e-06,1.076209015523905e-06,5.681742871867584e-07,0
257,4.459660627241358e-06,1.076209015523905e-06,1.2162693727586425e-06,0
258,2.871081989652315e-06,1.076209015523905e-06,1.485908010347685e-06,0
259,1.250880944072102e-06,1.076209015523905e-06,1.366039055927898e-06,0
260,4.959071354504562e-07,1.076209015523905e-06,9.952828645495437e-07,0
261,2.509554617955329e-07,1.076209015523905e-06,5.839705382044671e-07,0
262,1.8568575350456336e-07,1.076209015523905e-06,3.0443124649543667e-07,0
263,3.0785113063351396e-07,1.076209015523905e-06,1.38494869366486e-07,0
264,1.1488613568149729e-06,1.076209015523905e-06,-1.6941035681497286e-07,0
265,4.264700829916694e-06,1.076209015523905e-06,-1.1182608299166943e-06,0
266,1.2194566561109121e-05,1.076209015523905e-06,-2.856776561109121e-06,1
267,2.6509683645461042e-05,1.076209015523905e-06,-4.375083645461042e-06,1
268,4.5191640843781796e-05,1.076209015523905e-06,-4.928240843781798e-06,1
269,6.1563568638079e-05,1.076209015523905e-06,-5.018368638078998e-06,1
270,6.637384881913939e-05,1.076209015523905e-06,-4.314448819139392e-06,1
271,5.5322489088206814e-05,1.076209015523905e-06,-2.2751890882068176e-06,0
272,3.517189932271516e-05,1.076209015523905e-06,1.7800067728483817e-07,0
273,1.7452106326812092e-05,1.076209015523905e-06,2.0066936731879083e-06,0
274,7.685418225142072e-06,1.076209015523905e-06,2.821181774857928e-06,1
275,4.343895673866207e-06,1.076209015523905e-06,2.612384326133793e-06,1
276,3.848091525109262e-06,1.076209015523905e-06,2.058408474890738e-06,1
277,4.033159877252542e-06,1.076209015523905e-06,1.7435501227474573e-06,0
278,4.584918551699664e-06,1.076209015523905e-06,1.9092414483003357e-06,0
279,6.6035407548191924e-06,1.076209015523905e-06,3.004399245180807e-06,1
280,1.3007336085739148e-05,1.076209015523905e-06,5.362463914260853e-06,1
281,2.7655632864413746e-05,1.076209015523905e-06,8.862867135586254e-06,1
282,5.026891683816634e-05,1.076209015523905e-06,1.222818316183366e-05,1
283,7.230002138455665e-05,1.076209015523905e-06,1.193297861544334e-05,1
284,8.259028051311012e-05,1.076209015523905e-06,6.34981948688989e-06,0
285,7.592838940542031e-05,1.076209015523905e-06,6.341059457968753e-08,0
286,5.4730206024092026e-05,1.076209015523905e-06,-2.43880602409202e-06,0
287,2.8746455261599018e-05,1.076209015523905e-06,-2.1038552615990163e-06,1
288,3.8882596518561216e-06,1.076209015523905e-06,8.738103481438786e-07,0
289,3.6951188905804472e-06,1.076209015523905e-06,1.4990011094195516e-06,0
290,1.992573645518243e-06,1.076209015523905e-06,1.527246354481757e-06,0
291,7.148640734456023e-07,1.076209015523905e-06,1.1308159265543977e-06,1
292,2.543785545358433e-07,1.076209015523905e-06,6.453334454641567e-07,0
293,1.3325615735812074e-07,1.076209015523905e-06,3.141768426418792e-07,0
294,1.2820120289793247e-07,1.076209015523905e-06,1.5639879710206752e-07,0
295,4.071080242264963e-07,1.076209015523905e-06,-1.2348024226496352e-08,0
296,1.8580900873861714e-06,1.076209015523905e-06,-5.776000873861714e-07,0
297,6.961595959982379e-06,1.076209015523905e-06,-2.04412595998238e-06,1
298,1.9927135251742505e-05,1.076209015523905e-06,-4.107635251742505e-06,1
299,4.363264867401529e-05,1.076209015523905e-06,-5.664248674015291e-06,1
300,7.296910489139617e-05,1.076209015523905e-06,-6.660104891396181e-06,1
301,9.265488246967315e-05,1.076209015523905e-06,-6.5856824696731465e-06,1
302,8.865356090452958e-05,1.076209015523905e-06,-3.7397609045295826e-06,0
303,6.307502913827982e-05,1.076209015523905e-06,7.079708617201787e-07,0
304,3.31197619863545e-05,1.076209015523905e-06,3.839638013645498e-06,1
305,1.3523470502971034e-05,1.076209015523905e-06,4.672229497028966e-06,1
306,5.706033906367706e-06,1.076209015523905e-06,3.926526093632294e-06,1
307,3.906677816324585e-06,1.076209015523905e-06,2.7906621836754147e-06,1
308,3.636351959218348e-06,1.076209015523905e-06,2.0482380407816527e-06,1
309,3.5339026212807417e-06,1.076209015523905e-06,1.7738473787192584e-06,0
310,3.877229085739669e-06,1.076209015523905e-06,2.0897009142603307e-06,0
311,6.211129312342565e-06,1.076209015523905e-06,3.5271306876574353e-06,1
312,1.4675136719394235e-05,1.076209015523905e-06,6.515963280605766e-06,1
313,3.4628193941138066e-05,1.076209015523905e-06,1.0941806058861933e-05,1
314,6.505499517569908e-05,1.076209015523905e-06,1.4825904824300915e-05,1
315,9.412054900814e-05,1.076209015523905e-06,1.3916450991860007e-05,1
316,0.0001076209015523905,1.076209015523905e-06,7.596098447609507e-06,0
317,9.7724946965144e-05,1.076209015523905e-06,1.830753034856003e-06,0
318,6.70845103532389e-05,1.076209015523905e-06,5.1489646761101646e-08,0
319,3.195064073663709e-05,1.076209015523905e-06,-4.7240736637087905e-08,0
320,1.993653882289688e-06,1.076209015523905e-06,7.58146117710312e-07,0
321,1.5695140456855798e-06,1.076209015523905e-06,1.1047159543144204e-06,0
322,6.840726113721513e-07,1.076209015523905e-06,9.406273886278487e-07,0
323,1.9819954405479512e-07,1.076209015523905e-06,5.490534559452049e-07,0
324,6.549065721904846e-08,1.076209015523905e-06,2.3895834278095155e-07,0
325,3.970812415204201e-08,1.076209015523905e-06,9.390987584795798e-08,0
326,9.730607441960419e-08,1.076209015523905e-06,1.2788925580395805e-08,0
327,5.56370732867327e-07,1.076209015523905e-06,-2.5181773286732703e-07,1
328,2.759243195156116e-06,1.076209015523905e-06,-1.2493031951561161e-06,1
