,R248Q,max,diff,True
253,5.393421148404632e-05,1.277167689503329e-06,2.2971885159536835e-06,0
254,3.718281681725879e-05,1.277167689503329e-06,-1.4278168172587877e-06,0
255,1.8528514963090385e-05,1.277167689503329e-06,-1.099314963090386e-06,0
256,3.2557324936687237e-06,1.277167689503329e-06,1.3642575063312763e-06,1
257,3.7959442450809965e-06,1.277167689503329e-06,1.879985754919004e-06,1
258,2.67723513911791e-06,1.277167689503329e-06,1.67975486088209e-06,0
259,1.2806064344359623e-06,1.277167689503329e-06,1.3363135655640378e-06,0
260,4.6656741143872136e-07,1.277167689503329e-06,1.0246225885612786e-06,0
261,1.6924758552299635e-07,1.277167689503329e-06,6.656784144770035e-07,0
262,2.5299803624404626e-07,1.277167689503329e-06,2.3711896375595376e-07,0
263,8.76808852904529e-07,1.277167689503329e-06,-4.30462852904529e-07,1
264,2.3536981804376282e-06,1.277167689503329e-06,-1.3742471804376282e-06,1
265,4.997281806093319e-06,1.277167689503329e-06,-1.8508418060933193e-06,1
266,1.0038402730079878e-05,1.277167689503329e-06,-7.006127300798785e-07,0
267,2.0176605547146915e-05,1.277167689503329e-06,1.9579944528530845e-06,0
268,3.5896791128941515e-05,1.277167689503329e-06,4.366608871058483e-06,1
269,5.1602140763356766e-05,1.277167689503329e-06,4.943059236643236e-06,1
270,5.944517339455696e-05,1.277167689503329e-06,2.6142266054430407e-06,0
271,5.510232228247173e-05,1.277167689503329e-06,-2.055022282471732e-06,0
272,4.034500199207715e-05,1.277167689503329e-06,-4.995101992077153e-06,1
273,2.3643646211500706e-05,1.277167689503329e-06,-4.184846211500705e-06,1
274,1.2981031821089285e-05,1.277167689503329e-06,-2.4744318210892846e-06,1
275,9.526010939483438e-06,1.277167689503329e-06,-2.569730939483438e-06,1
276,1.008147909807731e-05,1.277167689503329e-06,-4.1749790980773104e-06,1
277,1.0591035235725396e-05,1.277167689503329e-06,-4.814325235725397e-06,1
278,9.45063273695313e-06,1.277167689503329e-06,-2.9564727369531304e-06,1
279,9.629669082768367e-06,1.277167689503329e-06,-2.1729082768367702e-08,0
280,1.6209730142472355e-05,1.277167689503329e-06,2.1600698575276466e-06,0
281,3.291643777004033e-05,1.277167689503329e-06,3.602062229959667e-06,0
282,5.834878515231119e-05,1.277167689503329e-06,4.148314847688809e-06,0
283,8.272524049141811e-05,1.277167689503329e-06,1.5077595085818789e-06,0
284,9.35079886663788e-05,1.277167689503329e-06,-4.5678886663787915e-06,0
285,8.470236029590119e-05,1.277167689503329e-06,-8.71056029590119e-06,1
286,5.9205663206702846e-05,1.277167689503329e-06,-6.914263206702841e-06,1
287,2.9529914250152446e-05,1.277167689503329e-06,-2.887314250152445e-06,1
288,3.923173289238524e-06,1.277167689503329e-06,8.388967107614765e-07,0
289,4.0457222627248905e-06,1.277167689503329e-06,1.1483977372751083e-06,0
290,2.42262485599564e-06,1.277167689503329e-06,1.0971951440043597e-06,0
291,9.517155851578623e-07,1.277167689503329e-06,8.939644148421375e-07,0
292,2.967802493021521e-07,1.277167689503329e-06,6.029317506978478e-07,0
293,1.4016573279203133e-07,1.277167689503329e-06,3.072672672079686e-07,0
294,3.532781893968733e-07,1.277167689503329e-06,-6.867818939687332e-08,0
295,1.2145333120786043e-06,1.277167689503329e-06,-8.197733120786044e-07,1
296,3.123771484157285e-06,1.277167689503329e-06,-1.843281484157285e-06,1
297,6.747606738619651e-06,1.277167689503329e-06,-1.8301367386196517e-06,1
298,1.5085558258522077e-05,1.277167689503329e-06,7.339417414779227e-07,0
299,3.316547052833039e-05,1.277167689503329e-06,4.802929471669613e-06,1
300,5.955765028810674e-05,1.277167689503329e-06,6.75134971189325e-06,1
301,8.141052697602022e-05,1.277167689503329e-06,4.65867302397979e-06,0
302,8.562863861877317e-05,1.277167689503329e-06,-7.14838618773173e-07,0
303,7.032185019408582e-05,1.277167689503329e-06,-6.538850194085825e-06,1
304,4.5005057918090165e-05,1.277167689503329e-06,-8.045657918090167e-06,1
305,2.343530463357485e-05,1.277167689503329e-06,-5.2396046335748516e-06,1
306,1.238260758022491e-05,1.277167689503329e-06,-2.7500475802249103e-06,1
307,9.935616001490536e-06,1.277167689503329e-06,-3.2382760014905367e-06,1
308,1.113810949302354e-05,1.277167689503329e-06,-5.45351949302354e-06,1
309,1.137028005153193e-05,1.277167689503329e-06,-6.06253005153193e-06,1
310,9.766219875761093e-06,1.277167689503329e-06,-3.799289875761093e-06,1
311,1.0592609524727977e-05,1.277167689503329e-06,-8.543495247279766e-07,0
312,2.0292154608873174e-05,1.277167689503329e-06,8.989453911268271e-07,0
313,4.4312011444192536e-05,1.277167689503329e-06,1.2579885558074627e-06,0
314,8.068878477337226e-05,1.277167689503329e-06,-8.078847733722643e-07,0
315,0.00011444101821057617,1.277167689503329e-06,-6.404018210576156e-06,0
316,0.0001277167689503329,1.277167689503329e-06,-1.2499768950332895e-05,1
317,0.00011271606646800032,1.277167689503329e-06,-1.3160366468000317e-05,1
318,7.531205447888085e-05,1.277167689503329e-06,-8.17605447888085e-06,1
319,3.52739795074656e-05,1.277167689503329e-06,-3.3705795074655978e-06,1
320,2.6224045831951584e-06,1.277167689503329e-06,1.2939541680484168e-07,0
321,2.3515760502827555e-06,1.277167689503329e-06,3.2265394971724466e-07,0
322,1.2021292252303092e-06,1.277167689503329e-06,4.2257077476969085e-07,0
323,4.091512571944768e-07,1.277167689503329e-06,3.381017428055232e-07,0
324,1.214412001620231e-07,1.277167689503329e-06,1.8300779983797693e-07,0
325,8.230149134245084e-08,1.277167689503329e-06,5.131650865754916e-08,0
326,2.842609910930764e-07,1.277167689503329e-06,-1.7416599109307642e-07,1
327,9.842664113556194e-07,1.277167689503329e-06,-6.797134113556195e-07,1
328,2.6235445932983197e-06,1.277167689503329e-06,-1.1136045932983198e-06,1
329,6.714252667907187e-06,1.277167689503329e-06,7.435733209281395e-08,0
330,1.7848936999895418e-05,1.277167689503329e-06,4.512363000104585e-06,1
331,4.0507329707479435e-05,1.277167689503329e-06,1.0410770292520568e-05,1
332,6.860816613175914e-05,1.277167689503329e-06,1.2146633868240857e-05,1
333,8.527765019380889e-05,1.277167689503329e-06,6.87784980619111e-06,1
334,7.968852225040864e-05,1.277167689503329e-06,-2.510622250408631e-06,0
335,5.6855810496724514e-05,1.277167689503329e-06,-9.218810496724516e-06,1
336,3.1127322155738835e-05,1.277167689503329e-06,-8.698422155738837e-06,1
337,1.3861041352448331e-05,1.277167689503329e-06,-4.563011352448331e-06,1
338,6.5714544735995765e-06,1.277167689503329e-06,-2.0415944735995763e-06,1
339,5.2308085370000135e-06,1.277167689503329e-06,-2.1774585370000137e-06,1
340,5.752546157734256e-06,1.277167689503329e-06,-3.2207561577342554e-06,1
341,5.620341490810187e-06,1.277167689503329e-06,-3.121701490810187e-06,1
342,5.064137640250078e-06,1.277167689503329e-06,-1.527967640250078e-06,1
343,7.429033619654407e-06,1.277167689503329e-06,4.6226638034559306e-07,0
344,1.8493081704628967e-05,1.277167689503329e-06,2.204818295371033e-06,0
345,4.398584620075551e-05,1.277167689503329e-06,2.9294537992444845e-06,0
346,8.066421776738472e-05,1.277167689503329e-06,3.894822326152756e-07,0
347,0.00011177323507813909,1.277167689503329e-06,-5.845235078139093e-06,0
348,0.00011971294822595844,1.277167689503329e-06,-1.0965948225958433e-05,1
349,9.895429190717211e-05,1.277167689503329e-06,-1.0449391907172114e-05,1
350,6.034203279727661e-05,1.277167689503329e-06,-6.487032797276614e-06,1
351,2.539738763208743e-05,1.277167689503329e-06,-3.123187632087429e-06,1
352,8.165819194741078e-07,1.277167689503329e-06,7.422508052589204e-08,0
353,6.379459156133808e-07,1.277167689503329e-06,1.595580843866192e-07,0
354,2.814963927587806e-07,1.277167689503329e-06,1.7027060724121935e-07,0
355,8.253489508685773e-08,1.277167689503329e-06,1.0805910491314226e-07,0
356,2.286172872271623e-08,1.277167689503329e-06,4.759877127728377e-08,0
357,2.9128104073589324e-08,1.277167689503329e-06,3.2237959264106816e-09,0
358,1.2840582176914001e-07,1.277167689503329e-06,-8.109412176914002e-08,1
359,4.6024210689500314e-07,1.277167689503329e-06,-2.1168810689500315e-07,1
360,1.478717718448074e-06,1.277167689503329e-06,3.674228155192578e-08,0
361,4.890933759579821e-06,1.277167689503329e-06,1.970216240420179e-06,1
