,T125R,max,diff,True
213,2.711185901328434e-06,1.0984206599276616e-06,7.604740986715659e-07,0
214,4.955985268016076e-06,1.0984206599276616e-06,3.8192473198392335e-07,0
215,1.0036239115658084e-05,1.0984206599276616e-06,-7.507591156580841e-07,0
216,1.9007984329891724e-05,1.0984206599276616e-06,-1.3143843298917248e-06,0
217,3.3963787313171255e-05,1.0984206599276616e-06,-9.511873131712518e-07,0
218,5.427795392602724e-05,1.0984206599276616e-06,-5.031539260272436e-07,0
219,7.115093881929282e-05,1.0984206599276616e-06,-1.076138819292827e-06,0
220,7.311734918264027e-05,1.0984206599276616e-06,-3.201149182640266e-06,0
221,5.8242127376629124e-05,1.0984206599276616e-06,-4.955627376629125e-06,0
222,3.575961789112211e-05,1.0984206599276616e-06,-4.45331789112211e-06,1
223,1.645459372623775e-05,1.0984206599276616e-06,-2.6510937262377497e-06,1
224,4.332336478745445e-06,1.0984206599276616e-06,-1.1870064787454451e-06,1
225,5.675666015878984e-06,1.0984206599276616e-06,-1.5914960158789843e-06,1
226,4.765349478849536e-06,1.0984206599276616e-06,-1.3777594788495359e-06,1
227,2.8755873549612788e-06,1.0984206599276616e-06,-6.416573549612789e-07,0
228,1.3766707368916521e-06,1.0984206599276616e-06,4.613926310834789e-08,0
229,5.570337233307458e-07,1.0984206599276616e-06,3.3051027666925424e-07,0
230,2.3565067325943232e-07,1.0984206599276616e-06,2.9453332674056765e-07,0
231,1.9837403958223233e-07,1.0984206599276616e-06,1.9151696041776766e-07,0
232,5.323138744879784e-07,1.0984206599276616e-06,1.1171212551202164e-07,0
233,2.030200393564993e-06,1.0984206599276616e-06,-1.6249039356499333e-07,0
234,6.444505590906723e-06,1.0984206599276616e-06,-1.1291355909067238e-06,0
235,1.526227994807735e-05,1.0984206599276616e-06,-2.8493799480773518e-06,1
236,2.7047541300878795e-05,1.0984206599276616e-06,-4.0472413008787944e-06,1
237,3.7121682390449485e-05,1.0984206599276616e-06,-3.174282390449485e-06,0
238,4.042931417189892e-05,1.0984206599276616e-06,-5.86014171898922e-07,0
239,3.484472355784233e-05,1.0984206599276616e-06,1.742076442157669e-06,0
240,2.3504069389029073e-05,1.0984206599276616e-06,2.6434306109709274e-06,0
241,1.2813988377037108e-05,1.0984206599276616e-06,2.3046116229628918e-06,1
242,6.6713269275640485e-06,1.0984206599276616e-06,1.2877130724359521e-06,0
243,4.2762017152369916e-06,1.0984206599276616e-06,3.9150828476300766e-07,0
244,3.3825582244488213e-06,1.0984206599276616e-06,3.207117755511785e-07,0
245,3.4031916998530138e-06,1.0984206599276616e-06,6.434283001469863e-07,0
246,5.165567539341647e-06,1.0984206599276616e-06,3.410024606583528e-07,0
247,9.83662436401749e-06,1.0984206599276616e-06,-6.635943640174897e-07,0
248,1.907054182127332e-05,1.0984206599276616e-06,-1.6660418212733195e-06,0
249,3.515610591802358e-05,1.0984206599276616e-06,-2.468505918023577e-06,0
250,5.6988792558173574e-05,1.0984206599276616e-06,-3.3495925581735744e-06,0
251,7.453749603961727e-05,1.0984206599276616e-06,-4.314596039617266e-06,0
252,7.561626929581123e-05,1.0984206599276616e-06,-4.729769295811232e-06,0
253,5.98729620168821e-05,1.0984206599276616e-06,-3.641562016882097e-06,0
254,3.767048237702203e-05,1.0984206599276616e-06,-1.915482377022032e-06,0
255,1.8446880346693634e-05,1.0984206599276616e-06,-1.0176803466936354e-06,0
256,5.593081565932485e-06,1.0984206599276616e-06,-9.730915659324849e-07,0
257,6.776003245766385e-06,1.0984206599276616e-06,-1.1000732457663845e-06,0
258,5.128092798980619e-06,1.0984206599276616e-06,-7.711027989806188e-07,0
259,2.732727033544364e-06,1.0984206599276616e-06,-1.1580703354436416e-07,0
260,1.1501354924335754e-06,1.0984206599276616e-06,3.4105450756642453e-07,0
261,4.5355164196557357e-07,1.0984206599276616e-06,3.8137435803442634e-07,0
262,2.886830642224797e-07,1.0984206599276616e-06,2.0143393577752035e-07,0
263,4.7102764721501634e-07,1.0984206599276616e-06,-2.4681647215016374e-08,0
264,1.3001179027638994e-06,1.0984206599276616e-06,-3.206669027638994e-07,0
265,4.0577172706814425e-06,1.0984206599276616e-06,-9.112772706814427e-07,0
266,1.1373189398123108e-05,1.0984206599276616e-06,-2.0353993981231084e-06,0
267,2.4999536237140225e-05,1.0984206599276616e-06,-2.864936237140225e-06,0
268,4.2378703841316935e-05,1.0984206599276616e-06,-2.1153038413169366e-06,0
269,5.699696179111271e-05,1.0984206599276616e-06,-4.5176179111270753e-07,0
270,6.139249649343236e-05,1.0984206599276616e-06,6.66903506567641e-07,0
271,5.190759791264092e-05,1.0984206599276616e-06,1.1397020873590792e-06,0
272,3.3795781633043125e-05,1.0984206599276616e-06,1.5541183669568736e-06,0
273,1.766899693087802e-05,1.0984206599276616e-06,1.7898030691219806e-06,0
274,9.085113400076444e-06,1.0984206599276616e-06,1.4214865999235565e-06,0
275,6.116298651227015e-06,1.0984206599276616e-06,8.399813487729854e-07,0
