,K292I,max,diff,True
248,1.9206425977049108e-05,1.056035626733772e-06,-1.8019259770491086e-06,0
249,3.514490856499986e-05,1.056035626733772e-06,-2.457308564999859e-06,0
250,5.631432719012131e-05,1.056035626733772e-06,-2.6751271901213135e-06,0
251,7.303059561667604e-05,1.056035626733772e-06,-2.8076956166760386e-06,0
252,7.402431574807247e-05,1.056035626733772e-06,-3.1378157480724787e-06,0
253,5.9481029787414406e-05,1.056035626733772e-06,-3.2496297874144006e-06,0
254,3.8506766972001866e-05,1.056035626733772e-06,-2.7517669720018674e-06,0
255,1.9271858945787203e-05,1.056035626733772e-06,-1.8426589457872043e-06,1
256,3.792020739136682e-06,1.056035626733772e-06,8.279692608633178e-07,0
257,4.847120302619001e-06,1.056035626733772e-06,8.288096973809992e-07,0
258,3.861239283375236e-06,1.056035626733772e-06,4.957507166247638e-07,0
259,2.106084612260148e-06,1.056035626733772e-06,5.108353877398519e-07,0
260,9.075839621384683e-07,1.056035626733772e-06,5.836060378615316e-07,0
261,3.603847185971026e-07,1.056035626733772e-06,4.745412814028973e-07,0
262,1.578344973566297e-07,1.056035626733772e-06,3.322825026433703e-07,0
263,1.5186002941141273e-07,1.056035626733772e-06,2.9448597058858724e-07,0
264,5.178554531474002e-07,1.056035626733772e-06,4.6159554685259985e-07,0
265,2.3528482872395355e-06,1.056035626733772e-06,7.935917127604644e-07,0
266,8.289409069102263e-06,1.056035626733772e-06,1.0483809308977372e-06,0
267,2.0763446060740168e-05,1.056035626733772e-06,1.371153939259832e-06,0
268,3.7902815891332106e-05,1.056035626733772e-06,2.3605841086678917e-06,0
269,5.324095759855837e-05,1.056035626733772e-06,3.3042424014416324e-06,1
270,6.012185826577423e-05,1.056035626733772e-06,1.9375417342257687e-06,0
271,5.4627780216764673e-05,1.056035626733772e-06,-1.5804802167646774e-06,0
272,3.8804010843690695e-05,1.056035626733772e-06,-3.4541108436906962e-06,1
273,2.165738344890289e-05,1.056035626733772e-06,-2.1985834489028877e-06,0
274,1.0437222832715086e-05,1.056035626733772e-06,6.937716728491435e-08,0
275,5.0541416640563785e-06,1.056035626733772e-06,1.9021383359436216e-06,1
276,2.8607510448940065e-06,1.056035626733772e-06,3.0457489551059936e-06,1
277,2.478649640361121e-06,1.056035626733772e-06,3.298060359638878e-06,1
278,3.702427142070082e-06,1.056035626733772e-06,2.791732857929917e-06,1
279,7.680852327365857e-06,1.056035626733772e-06,1.927087672634142e-06,0
280,1.745025427043941e-05,1.056035626733772e-06,9.195457295605906e-07,0
